Date,Open,High,Low,Close,Adj Close,Volume
2023-07-13,73.519997,73.930000,73.379997,73.709999,71.490303,6058600
2023-07-14,73.480003,73.750000,72.790001,73.199997,70.995651,6463500
2023-07-17,72.959999,73.419998,72.449997,72.660004,70.471924,5148800
2023-07-18,72.769997,73.080002,71.300003,72.050003,69.880280,7239500
2023-07-19,72.360001,72.930000,72.050003,72.099998,69.928780,7464800
2023-07-20,72.099998,74.129997,71.650002,74.099998,71.868546,9221600
2023-07-21,74.419998,76.269997,74.300003,75.900002,73.614349,11877200
2023-07-24,75.879997,76.669998,75.370003,75.500000,73.226395,8609700
2023-07-25,75.760002,75.940002,74.620003,75.440002,73.168205,8847800
2023-07-26,74.889999,76.190002,73.879997,74.370003,72.130432,7244600
2023-07-27,73.940002,74.889999,73.190002,73.269997,71.063545,10185400
2023-07-28,73.750000,74.379997,72.480003,72.849998,70.656189,6230700
2023-07-31,73.400002,74.470001,73.040001,73.300003,71.092651,10876400
2023-08-01,73.320000,73.809998,72.089996,72.169998,69.996674,6723400
2023-08-02,71.510002,72.349998,71.459999,71.910004,69.744507,6589600
2023-08-03,71.199997,71.500000,70.059998,70.099998,67.988998,9075100
2023-08-04,70.550003,70.690002,69.019997,69.169998,67.087013,9137900
2023-08-07,69.500000,69.720001,68.610001,68.639999,66.572968,8397200
2023-08-08,68.339996,68.949997,67.910004,68.709999,66.640869,8890000
2023-08-09,68.790001,69.580002,68.510002,68.919998,66.844543,7453000
2023-08-10,69.300003,69.660004,68.150002,68.290001,66.233513,7959900
2023-08-11,68.300003,68.940002,68.160004,68.919998,66.844543,6520100
2023-08-14,68.849998,68.930000,68.300003,68.559998,66.495377,8021100
2023-08-15,68.150002,68.230003,67.169998,67.349998,65.321815,7703900
2023-08-16,67.720001,67.949997,67.309998,67.559998,65.525497,6433500
2023-08-17,67.339996,68.150002,67.290001,67.510002,65.477005,6677600
2023-08-18,67.339996,68.059998,67.330002,67.830002,65.787376,6290700
2023-08-21,67.750000,67.800003,66.669998,67.080002,65.059952,6856100
2023-08-22,67.110001,67.820000,66.760002,67.519997,65.486694,7370400
2023-08-23,68.070000,68.139999,67.300003,67.889999,65.845558,7721800
2023-08-24,67.889999,68.410004,67.080002,67.220001,65.195747,9242500
2023-08-25,67.300003,68.220001,67.230003,67.959999,65.913445,10114100
2023-08-28,68.250000,68.599998,67.980003,68.019997,65.971649,7152600
2023-08-29,67.779999,67.849998,67.110001,67.510002,65.930634,11209700
2023-08-30,67.360001,67.730003,66.820000,67.089996,65.520447,7461500
2023-08-31,67.500000,67.790001,66.730003,66.800003,65.237244,11797800
2023-09-01,67.339996,67.570000,66.449997,66.870003,65.305603,8296300
2023-09-05,66.820000,67.269997,65.809998,66.199997,64.651276,10002700
2023-09-06,66.029999,66.410004,65.360001,65.690002,64.153206,9250300
2023-09-07,66.279999,66.970001,65.870003,66.250000,64.700104,9981100
2023-09-08,66.260002,67.000000,66.070000,66.830002,65.266541,7484800
2023-09-11,67.000000,67.889999,66.949997,67.529999,65.950157,7981600
2023-09-12,67.500000,68.029999,67.110001,67.730003,66.145485,7171300
2023-09-13,67.879997,68.769997,67.879997,68.430000,66.829109,8925700
2023-09-14,68.900002,69.349998,68.419998,69.279999,67.659218,7944900
2023-09-15,69.339996,69.889999,68.599998,68.639999,67.034195,18380200
2023-09-18,68.809998,68.860001,67.910004,68.239998,66.643547,7534100
