Date,Open,High,Low,Close,Adj Close,Volume
2021-12-31,357.8133239746094,360.6666564941406,351.5299987792969,352.260009765625,352.260009765625,40733700
2022-01-03,382.5833435058594,400.3566589355469,378.67999267578125,399.9266662597656,399.9266662597656,103931400
2022-01-04,396.51666259765625,402.6666564941406,374.3500061035156,383.1966552734375,383.1966552734375,100248300
2022-01-05,382.2166748046875,390.11334228515625,360.336669921875,362.7066650390625,362.7066650390625,80119800
2022-01-06,359.0,362.6666564941406,340.1666564941406,354.8999938964844,354.8999938964844,90336600
2022-01-07,360.1233215332031,360.30999755859375,336.6666564941406,342.32000732421875,342.32000732421875,84164700
2022-01-10,333.3333435058594,353.0333251953125,326.6666564941406,352.7066650390625,352.7066650390625,91815000
2022-01-11,351.22332763671875,358.6166687011719,346.2733459472656,354.79998779296875,354.79998779296875,66063300
2022-01-12,359.6166687011719,371.61334228515625,357.5299987792969,368.739990234375,368.739990234375,83739000
2022-01-13,369.69000244140625,371.8666687011719,342.17999267578125,343.85333251953125,343.85333251953125,97209900
2022-01-14,339.9599914550781,350.6666564941406,337.7933349609375,349.8699951171875,349.8699951171875,72924300
2022-01-18,342.2033386230469,356.92999267578125,338.6866760253906,343.5033264160156,343.5033264160156,66743400
2022-01-19,347.2366638183594,351.5566711425781,331.6666564941406,331.8833312988281,331.8833312988281,75442500
2022-01-20,336.57666015625,347.2200012207031,331.3333435058594,332.0899963378906,332.0899963378906,70488600
2022-01-21,332.11334228515625,334.8500061035156,313.5,314.6333312988281,314.6333312988281,103416000
2022-01-24,301.586669921875,311.1700134277344,283.8233337402344,310.0,310.0,151565700
2022-01-25,304.73333740234375,317.086669921875,301.07000732421875,306.1333312988281,306.1333312988281,86595900
2022-01-26,317.4766540527344,329.2300109863281,302.0,312.4700012207031,312.4700012207031,104867400
2022-01-27,311.1199951171875,311.7966613769531,276.3333435058594,276.3666687011719,276.3666687011719,147109500
2022-01-28,277.1866760253906,285.8333435058594,264.0033264160156,282.1166687011719,282.1166687011719,134789100
2022-01-31,290.9033203125,312.663330078125,287.3500061035156,312.239990234375,312.239990234375,104436000
2022-02-01,311.7366638183594,314.5666809082031,301.6666564941406,310.4166564941406,310.4166564941406,73138200
2022-02-02,309.3933410644531,310.5,296.4700012207031,301.88665771484375,301.88665771484375,66792900
2022-02-03,294.0,312.3333435058594,293.50665283203125,297.0466613769531,297.0466613769531,78855600
2022-02-04,299.0733337402344,312.1666564941406,293.72332763671875,307.7733459472656,307.7733459472656,73625400
